id	description	uniprotIDs	ncbiIDs
B01R04C12	DiGeorge syndrome critical region gene 8 (DGCR8)	Q8WYQ5	NM_022720.5
B01R04C13	Tubulin alpha-3 chain	Q68FR8	NM_145042.1
B01R04C14	Tubulin alpha-3 chain	Q68FR8	NM_145042.1
B01R04C15	protease, serine, 23 (PRSS23)	O95084	NM_007173.3
B01R04C16	protease, serine, 23 (PRSS23)	O95084	NM_007173.3
B01R04C17	mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein	Q9Y399	NM_016034.2
B01R04C18	mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein	Q9Y399	NM_016034.2
B01R04C19	enhancer of mRNA decapping 3 homolog (S. cerevisiae) (EDC3)	Q96F86	NM_025083.2
B01R04C20	enhancer of mRNA decapping 3 homolog (S. cerevisiae) (EDC3)	Q96F86	NM_025083.2
B01R04C21	glutaminyl-peptide cyclotransferase-like (QPCTL)	Q9NXS2	BC011553.1
B01R04C22	glutaminyl-peptide cyclotransferase-like (QPCTL)	Q9NXS2	BC011553.1
B01R05C01	alkB, alkylation repair homolog 7 (E. coli) (ALKBH7)	Q9BT30	NM_032306.2
B01R05C02	alkB, alkylation repair homolog 7 (E. coli) (ALKBH7)	Q9BT30	NM_032306.2
B01R05C03	NLR family, pyrin domain containing 2 (NLRP2)	Q9NX02	BC039269.1
B01R05C04	NLR family, pyrin domain containing 2 (NLRP2)	Q9NX02	BC039269.1
B01R05C05	tissue factor pathway inhibitor 2 (TFPI2)	P48307	NM_006528.2
B01R05C06	tissue factor pathway inhibitor 2 (TFPI2)	P48307	NM_006528.2
B01R05C07	BTB/POZ domain-containing protein KCTD9	Q7L273	BC068518.1,NM_017634.1
B01R05C08	BTB/POZ domain-containing protein KCTD9	Q7L273	BC068518.1,NM_017634.1
B01R05C09	MAD2 mitotic arrest deficient-like 1 (yeast) (MAD2L1)	Q13257	NM_002358.2
B01R05C10	MAD2 mitotic arrest deficient-like 1 (yeast) (MAD2L1)	Q13257	NM_002358.2
B01R05C11	deoxyguanosine kinase (DGUOK), nuclear gene encoding mitochondrial protein, transcript variant 1	Q16854	NM_080916.1
B01R05C12	deoxyguanosine kinase (DGUOK), nuclear gene encoding mitochondrial protein, transcript variant 1	Q16854	NM_080916.1
B01R05C13	coiled-coil domain containing 28A (CCDC28A)	Q8IWP9	BC013019.1
B01R05C14	coiled-coil domain containing 28A (CCDC28A)	Q8IWP9	BC013019.1
B01R05C15	G protein-coupled receptor kinase 6	P43250	NM_002082.1
B01R05C16	G protein-coupled receptor kinase 6	P43250	NM_002082.1
B01R05C17	histone cluster 2, H2aa3 (HIST2H2AA3)	Q6FI13	NM_003516.2
B01R05C18	histone cluster 2, H2aa3 (HIST2H2AA3)	Q6FI13	NM_003516.2
B01R05C19	keratin 36 (KRT36)	O76013	BC043581.1
B01R05C20	keratin 36 (KRT36)	O76013	BC043581.1
B01R05C21	ninjurin 1 (NINJ1)	Q92982	BC004440.1,NM_004148.2
B01R05C22	ninjurin 1 (NINJ1)	Q92982	BC004440.1,NM_004148.2
B01R06C01	cytochrome c oxidase subunit VIIa polypeptide 2 like (COX7A2L), nuclear gene encoding mitochondrial protein	O14548	NM_004718.2
B01R06C02	cytochrome c oxidase subunit VIIa polypeptide 2 like (COX7A2L), nuclear gene encoding mitochondrial protein	O14548	NM_004718.2
B01R06C03	centrosomal protein 27kDa (CEP27)	Q9NVX0	NM_018097.1
B01R06C04	centrosomal protein 27kDa (CEP27)	Q9NVX0	NM_018097.1
B01R06C05	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH)	P61326	NM_002370.2
B01R06C06	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH)	P61326	NM_002370.2
B01R06C07	coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3)	Q9NX63	NM_017812.1
B01R06C08	coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3)	Q9NX63	NM_017812.1
B01R06C09	v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1)	P04049	NM_002880.1
B01R06C10	v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1)	P04049	NM_002880.1
B01R06C11	cold inducible RNA binding protein (CIRBP)	Q14011	NM_001280.1
B01R06C12	cold inducible RNA binding protein (CIRBP)	Q14011	NM_001280.1
B01R06C13	piccolo (presynaptic cytomatrix protein) (PCLO)	Q32P40	BC001304.1
B01R06C14	piccolo (presynaptic cytomatrix protein) (PCLO)	Q32P40	BC001304.1
B01R06C15	tubulointerstitial nephritis antigen-like 1 (TINAGL1)	Q9GZM7	NM_022164.1,BC009048.1
B01R06C16	tubulointerstitial nephritis antigen-like 1 (TINAGL1)	Q9GZM7	NM_022164.1,BC009048.1
B01R06C17	lysosomal-associated protein transmembrane 4 alpha (LAPTM4A)	Q15012	NM_014713.2
B01R06C18	lysosomal-associated protein transmembrane 4 alpha (LAPTM4A)	Q15012	NM_014713.2
B01R06C19	v-ral simian leukemia viral oncogene homolog A (ras related) (RALA)	P11233	NM_005402.1
B01R06C20	v-ral simian leukemia viral oncogene homolog A (ras related) (RALA)	P11233	NM_005402.1
B01R06C21	LSM12 homolog (S. cerevisiae) (LSM12)	Q3MHD2	BC044587.1
B01R06C22	LSM12 homolog (S. cerevisiae) (LSM12)	Q3MHD2	BC044587.1
B01R07C01	zinc finger and SCAN domain containing 1 (ZSCAN1)	Q8NBB4	BC048099.1
B01R07C02	zinc finger and SCAN domain containing 1 (ZSCAN1)	Q8NBB4	BC048099.1
B01R07C03	chromosome 17 open reading frame 49 (C17orf49)	Q8IXM2	BC040036.1
B01R07C04	chromosome 17 open reading frame 49 (C17orf49)	Q8IXM2	BC040036.1
B01R07C05	chromosome 8 open reading frame 53 (C8orf53)	Q9BRU9	BC005955.1
B01R07C06	chromosome 8 open reading frame 53 (C8orf53)	Q9BRU9	BC005955.1
B01R07C07	arachidonate 15-lipoxygenase, type B (ALOX15B)	O15296	BC035217.1
B01R07C08	arachidonate 15-lipoxygenase, type B (ALOX15B)	O15296	BC035217.1
B01R07C09	testis specific, 10 (TSGA10)	Q9BZW7	BC028366.1
B01R07C10	testis specific, 10 (TSGA10)	Q9BZW7	BC028366.1
B01R07C11	mitogen-activated protein kinase 6 (MAPK6)	Q16659	NM_002748.2,BC035492.1
B01R07C12	mitogen-activated protein kinase 6 (MAPK6)	Q16659	NM_002748.2,BC035492.1
B01R07C13	Putative uncharacterized protein C6orf99	Q4VX62	XM_374188.3
B01R07C14	Putative uncharacterized protein C6orf99	Q4VX62	XM_374188.3
B01R07C15	hypothetical protein LOC205251 (LOC205251)	Q8NCU8	NM_174925.1
B01R07C16	hypothetical protein LOC205251 (LOC205251)	Q8NCU8	NM_174925.1
B01R07C17	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), transcript variant 2	Q9UJY4	NM_138640.1
B01R07C18	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), transcript variant 2	Q9UJY4	NM_138640.1
B01R07C19	tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14), transcript variant 2	Q6FHA1	NM_172014.1
B01R07C20	tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14), transcript variant 2	Q6FHA1	NM_172014.1
B01R07C21	tubulin polymerization-promoting protein family member 3 (TPPP3)	Q9BW30	BC000691.1
B01R07C22	tubulin polymerization-promoting protein family member 3 (TPPP3)	Q9BW30	BC000691.1
B01R08C01	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5)	P45973	NM_012117.1
B01R08C02	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5)	P45973	NM_012117.1
B01R08C03	F-box protein 11 (FBXO11), transcript variant 1	Q86XK2	NM_025133.3
B01R08C04	F-box protein 11 (FBXO11), transcript variant 1	Q86XK2	NM_025133.3
B01R08C05	lymphocyte antigen 6 complex, locus E (LY6E)	Q16553	NM_002346.1
B01R08C06	lymphocyte antigen 6 complex, locus E (LY6E)	Q16553	NM_002346.1
B01R08C07	sperm associated antigen 8 (SPAG8)	Q99932	BC019247.1
B01R08C08	sperm associated antigen 8 (SPAG8)	Q99932	BC019247.1
B01R08C09	inositol(myo)-1(or 4)-monophosphatase 2 (IMPA2)	O14732	NM_014214.1
B01R08C10	inositol(myo)-1(or 4)-monophosphatase 2 (IMPA2)	O14732	NM_014214.1
B01R08C11	dullard homolog (Xenopus laevis) (DULLARD)	O95476	NM_015343.1
B01R08C12	dullard homolog (Xenopus laevis) (DULLARD)	O95476	NM_015343.1
B01R08C13	ubiquitin specific protease 45 (USP45)	Q70EL2	NM_032929.1
B01R08C14	ubiquitin specific protease 45 (USP45)	Q70EL2	NM_032929.1
B01R08C15	Voltage-dependent L-type calcium channel subunit beta-1	Q02641	BC037311.1
B01R08C16	Voltage-dependent L-type calcium channel subunit beta-1	Q02641	BC037311.1
B01R08C17	tetratricopeptide repeat domain 30A (TTC30A)	Q8IVP2	BC042848.1
B01R08C18	tetratricopeptide repeat domain 30A (TTC30A)	Q8IVP2	BC042848.1
B01R08C19	RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2	P62834	NM_002884.1
B01R08C20	RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2	P62834	NM_002884.1
B01R08C21	Rap guanine nucleotide exchange factor (GEF) 4 (RAPGEF4)	Q8WZA2	BC024004.1,BC040183.2
B01R08C22	Rap guanine nucleotide exchange factor (GEF) 4 (RAPGEF4)	Q8WZA2	BC024004.1,BC040183.2
B01R09C01	dickkopf homolog 4 (Xenopus laevis) (DKK4)	Q9UBT3	NM_014420.2
B01R09C02	dickkopf homolog 4 (Xenopus laevis) (DKK4)	Q9UBT3	NM_014420.2
B01R09C03	chromosome 14 open reading frame 45 (C14orf45)	Q8ND07	NM_025057.1
B01R09C04	chromosome 14 open reading frame 45 (C14orf45)	Q8ND07	NM_025057.1
B01R09C05	interferon, alpha 5 (IFNA5)	P01569	NM_002169.1
B01R09C06	interferon, alpha 5 (IFNA5)	P01569	NM_002169.1
B01R09C07	testis specific protein, Y-linked 2 (TSPY2)	Q01534	NM_022573.1
B01R09C08	testis specific protein, Y-linked 2 (TSPY2)	Q01534	NM_022573.1
B01R09C09	Solute carrier family 20 (phosphate transporter), member 2 (SLC20A2), mRNA	NA	NA
B01R09C10	Solute carrier family 20 (phosphate transporter), member 2 (SLC20A2), mRNA	NA	NA
B01R09C11	jumonji domain containing 5 (JMJD5)	Q8N371	BC027911.1
B01R09C12	jumonji domain containing 5 (JMJD5)	Q8N371	BC027911.1
B01R09C13	hypothetical LOC554202 (LOC554202)	Q8WTY6	BC021861.1
B01R09C14	hypothetical LOC554202 (LOC554202)	Q8WTY6	BC021861.1
B01R09C15	DJ467N11.1  protein (DJ467N11.1), mRNA	NA	NA
B01R09C16	DJ467N11.1  protein (DJ467N11.1), mRNA	NA	NA
B01R09C17	hypothetical protein MGC42105 (MGC42105)	Q8IY84	BC036422.1
B01R09C18	hypothetical protein MGC42105 (MGC42105)	Q8IY84	BC036422.1
B01R09C19	EMG1 nucleolar protein homolog (S. cerevisiae) (EMG1)	Q92979	BC055314.1
B01R09C20	EMG1 nucleolar protein homolog (S. cerevisiae) (EMG1)	Q92979	BC055314.1
B01R09C21	Phytanoyl-CoA dioxygenase domain-containing protein 1	Q5SRE7	BC051300.1,BC053853.1,NM_174933.2
B01R09C22	Phytanoyl-CoA dioxygenase domain-containing protein 1	Q5SRE7	BC051300.1,BC053853.1,NM_174933.2
B01R10C01	D4, zinc and double PHD fingers family 2 (DPF2)	Q92785	BC014889.1
B01R10C02	D4, zinc and double PHD fingers family 2 (DPF2)	Q92785	BC014889.1
B01R10C03	Carboxypeptidase A2	P48052	BC007009.1
B01R10C04	Carboxypeptidase A2	P48052	BC007009.1
B01R10C05	Ornithine decarboxylase	P11926	NM_002539.1
B01R10C08	Zinc finger CCCH domain-containing protein 7A	Q8IWR0	BC012575.1
B01R10C09	Ras-related protein Rab-39B	Q96DA2	NM_171998.1
B01R10C10	Ras-related protein Rab-39B	Q96DA2	NM_171998.1
B01R11C21	brix domain containing 1 (BXDC1)	Q9H7B2	BC035314.1
B01R11C22	brix domain containing 1 (BXDC1)	Q9H7B2	BC035314.1
B01R12C01	karyopherin alpha 4 (importin alpha 3) (KPNA4)	Q96KW7	BC016754.1
B01R12C02	karyopherin alpha 4 (importin alpha 3) (KPNA4)	Q96KW7	BC016754.1
B01R12C03	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	BC020966.1
B01R12C04	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	BC020966.1
B01R12C05	polymerase (DNA directed), lambda (POLL)	Q9UGP5	BC003548.1
B01R12C06	polymerase (DNA directed), lambda (POLL)	Q9UGP5	BC003548.1
B01R12C07	UPF3 regulator of nonsense transcripts homolog A (yeast) (UPF3A)	A2A366	BC023569.1
B01R12C08	UPF3 regulator of nonsense transcripts homolog A (yeast) (UPF3A)	A2A366	BC023569.1
B01R12C09	mitochondrial ribosomal protein L43 (MRPL43)	Q8N983,A8K4V4	BC053373.1,BC052639.1
B01R12C10	mitochondrial ribosomal protein L43 (MRPL43)	Q8N983,A8K4V4	BC053373.1,BC052639.1
B01R12C11	seryl-tRNA synthetase 2, mitochondrial (SARS2)	Q9NP81	BC042912.1
B01R12C12	seryl-tRNA synthetase 2, mitochondrial (SARS2)	Q9NP81	BC042912.1
B01R12C13	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (TNFRSF11B)	O00300	BC030155.1
B01R12C14	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (TNFRSF11B)	O00300	BC030155.1
B01R12C15	Smith-Magenis syndrome chromosome region candidate gene 7 protein	Q96C03	NM_139162.2
B01R12C16	Smith-Magenis syndrome chromosome region candidate gene 7 protein	Q96C03	NM_139162.2
B01R12C17	syntaxin 11 (STX11)	O75558	NM_003764.2
B01R12C18	syntaxin 11 (STX11)	O75558	NM_003764.2
B01R12C19	collagen, type IV, alpha 6 (COL4A6)	Q14031	BC005305.1,BC070203.1
B01R12C20	collagen, type IV, alpha 6 (COL4A6)	Q14031	BC005305.1,BC070203.1
B01R12C21	microtubule-associated protein 1 light chain 3 alpha (MAP1LC3A), transcript variant 1	Q9H492	NM_032514.2
B01R12C22	microtubule-associated protein 1 light chain 3 alpha (MAP1LC3A), transcript variant 1	Q9H492	NM_032514.2
B01R13C01	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	O60264	BC023144.1
B01R13C02	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	O60264	BC023144.1
B01R13C03	potassium voltage-gated channel, subfamily G, member 4 (KCNG4), transcript variant 2	Q8TDN1	NM_133490.2
B01R13C04	potassium voltage-gated channel, subfamily G, member 4 (KCNG4), transcript variant 2	Q8TDN1	NM_133490.2
B01R13C05	Hypothetical protein FLJ32356 (FLJ32356), mRNA	NA	NA
B01R13C06	Hypothetical protein FLJ32356 (FLJ32356), mRNA	NA	NA
B01R13C07	endothelin converting enzyme 1 (ECE1)	P42892	NM_001397.1
B01R13C08	endothelin converting enzyme 1 (ECE1)	P42892	NM_001397.1
B01R13C09	T cell receptor alpha locus, mRNA (cDNA clone MGC:88373 IMAGE:4693137), complete cds	NA	NA
B01R13C10	T cell receptor alpha locus, mRNA (cDNA clone MGC:88373 IMAGE:4693137), complete cds	NA	NA
B01R13C11	protein arginine methyltransferase 8 (PRMT8)	NA	NA
B01R13C12	protein arginine methyltransferase 8 (PRMT8)	NA	NA
B01R13C13	Motilin, mRNA (cDNA clone MGC:97389 IMAGE:7262661), complete cds	NA	NA
B01R13C14	Motilin, mRNA (cDNA clone MGC:97389 IMAGE:7262661), complete cds	NA	NA
B01R13C15	COMM domain-containing protein 7	Q86VX2	BC022073.1
B01R13C16	COMM domain-containing protein 7	Q86VX2	BC022073.1
B01R13C17	small nuclear RNA activating complex, polypeptide 5, 19kDa (SNAPC5)	A8K7N6	BC014315.1
B01R13C18	small nuclear RNA activating complex, polypeptide 5, 19kDa (SNAPC5)	A8K7N6	BC014315.1
B01R13C19	hypothetical protein BC014341 (LOC116123)	Q96CE7	NM_138784.1
B01R13C20	hypothetical protein BC014341 (LOC116123)	Q96CE7	NM_138784.1
B01R13C21	poly (ADP-ribose) polymerase family, member 11 (PARP11)	Q9NR21	NM_020367.2,BC031073.1
B01R13C22	poly (ADP-ribose) polymerase family, member 11 (PARP11)	Q9NR21	NM_020367.2,BC031073.1
B01R14C03	S100 calcium binding protein A12 (S100A12)	P80511	NM_005621.1
B01R14C04	S100 calcium binding protein A12 (S100A12)	P80511	NM_005621.1
B01R14C05	acid phosphatase 2, lysosomal (ACP2)	P11117	BC003160.1
B01R14C06	acid phosphatase 2, lysosomal (ACP2)	P11117	BC003160.1
B01R14C07	kelch-like 6 (Drosophila) (KLHL6)	Q8WZ60	BC032348.1
B01R14C08	kelch-like 6 (Drosophila) (KLHL6)	Q8WZ60	BC032348.1
B01R14C09	PYD and CARD domain containing (PYCARD), transcript variant 3	Q9ULZ3	NM_145183.1
B01R14C10	PYD and CARD domain containing (PYCARD), transcript variant 3	Q9ULZ3	NM_145183.1
B01R14C11	Docking protein 5	Q9P104	NM_018431.3
B01R14C12	Docking protein 5	Q9P104	NM_018431.3
B01R14C13	Docking protein 6	Q6PKX4	NM_152721.2,BC019045.1
B01R14C14	Docking protein 6	Q6PKX4	NM_152721.2,BC019045.1
B01R14C15	Interleukin-15	P40933	NM_172175.1
B01R14C16	Interleukin-15	P40933	NM_172175.1
B01R14C17	RUN and FYVE domain-containing protein 4	Q6ZNE9	NM_198483.1
B01R14C18	RUN and FYVE domain-containing protein 4	Q6ZNE9	NM_198483.1
B01R14C19	Sorting nexin-18	Q96RF0	BC034236.1
B01R14C20	Sorting nexin-18	Q96RF0	BC034236.1
B01R14C21	tumor necrosis factor (ligand) superfamily, member 18 (TNFSF18)	Q9UNG2	NM_005092.2
B01R14C22	tumor necrosis factor (ligand) superfamily, member 18 (TNFSF18)	Q9UNG2	NM_005092.2
B01R15C01	gastric intrinsic factor (vitamin B synthesis) (GIF)	P27352	NM_005142.2
B01R15C02	gastric intrinsic factor (vitamin B synthesis) (GIF)	P27352	NM_005142.2
B01R15C03	nipsnap homolog 3B (C. elegans) (NIPSNAP3B)	Q9BS92	NM_018376.2
B01R15C04	nipsnap homolog 3B (C. elegans) (NIPSNAP3B)	Q9BS92	NM_018376.2
B01R15C05	Solute carrier family 22 member 12	Q96S37	NM_153378.1
B01R15C06	Solute carrier family 22 member 12	Q96S37	NM_153378.1
B01R15C07	calcyphosine (CAPS), transcript variant 1	Q13938	NM_004058.2
B01R15C08	calcyphosine (CAPS), transcript variant 1	Q13938	NM_004058.2
B01R15C09	mitochondrial ribosomal protein L55 (MRPL55), nuclear gene encoding mitochondrial protein, transcript variant 4	Q7Z7F7	NM_181462.1
B01R15C10	mitochondrial ribosomal protein L55 (MRPL55), nuclear gene encoding mitochondrial protein, transcript variant 4	Q7Z7F7	NM_181462.1
B01R15C11	COMM domain containing 4 (COMMD4)	Q9H0A8	NM_017828.2
B01R15C12	COMM domain containing 4 (COMMD4)	Q9H0A8	NM_017828.2
B01R15C13	thyroglobulin	NA	NA
B01R15C14	thyroglobulin	NA	NA
B01R15C15	protein kinase C, gamma (PRKCG)	P05129	NM_002739.1
B01R15C16	protein kinase C, gamma (PRKCG)	P05129	NM_002739.1
B01R15C17	SFRS protein kinase 1 (SRPK1)	Q5RD27	NM_003137.2
B01R15C18	SFRS protein kinase 1 (SRPK1)	Q5RD27	NM_003137.2
B01R15C19	mitogen-activated protein kinase kinase 6 (MAP2K6), transcript variant 2; see catalog number for detailed information on wild-type or point mutant status	NA	NA
B01R15C20	mitogen-activated protein kinase kinase 6 (MAP2K6), transcript variant 2; see catalog number for detailed information on wild-type or point mutant status	NA	NA
B01R15C21	protein kinase C, alpha (PRKCA); see catalog number for detailed information on wild-type or point mutant status	P17252	NM_002737.1
B01R15C22	protein kinase C, alpha (PRKCA); see catalog number for detailed information on wild-type or point mutant status	P17252	NM_002737.1
B01R16C01	pim-1 oncogene (PIM1)	P11309	NM_002648.1
B01R16C02	pim-1 oncogene (PIM1)	P11309	NM_002648.1
B01R16C03	serine?threonine kinase	NA	NM_015375.1
B01R16C04	serine?threonine kinase	NA	NM_015375.1
B01R16C05	CDC42 binding protein kinase alpha (DMPK-like)	NA	NM_014826.1
B01R16C06	CDC42 binding protein kinase alpha (DMPK-like)	NA	NM_014826.1
B01R16C07	aprataxin (APTX), transcript variant 4	Q7Z2E3	NM_017692.1
B01R16C08	aprataxin (APTX), transcript variant 4	Q7Z2E3	NM_017692.1
B01R16C09	tripartite motif-containing 65 (TRIM65)	Q96DX1	NM_173547.2
B01R16C10	tripartite motif-containing 65 (TRIM65)	Q96DX1	NM_173547.2
B01R16C11	myosin, light chain 6B, alkali, smooth muscle and non-muscle (MYL6B)	P14649	NM_002475.2
B01R16C12	myosin, light chain 6B, alkali, smooth muscle and non-muscle (MYL6B)	P14649	NM_002475.2
B01R16C13	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa (POLR3F)	Q9H1D9	NM_006466.1
B01R16C14	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa (POLR3F)	Q9H1D9	NM_006466.1
B01R16C15	APEX nuclease (multifunctional DNA repair enzyme) 1 (APEX1), transcript variant 1	P27695	NM_001641.2
B01R16C16	APEX nuclease (multifunctional DNA repair enzyme) 1 (APEX1), transcript variant 1	P27695	NM_001641.2
B01R16C17	dynein, axonemal, light chain 4 (DNAL4)	O96015	NM_005740.1
B01R16C18	dynein, axonemal, light chain 4 (DNAL4)	O96015	NM_005740.1
B01R16C19	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 (DDX49)	Q9Y6V7	NM_019070.1
B01R16C20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 (DDX49)	Q9Y6V7	NM_019070.1
B01R16C21	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1	P36543	NM_001696.2
B01R16C22	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1	P36543	NM_001696.2
B01R17C01	major histocompatibility complex, class I-related (MR1)	Q95HB8	BC012485.1
B01R17C02	major histocompatibility complex, class I-related (MR1)	Q95HB8	BC012485.1
B01R17C03	proline-serine-threonine phosphatase interacting protein 1 (PSTPIP1)	O43586	NM_003978.2
B01R17C04	proline-serine-threonine phosphatase interacting protein 1 (PSTPIP1)	O43586	NM_003978.2
B01R17C05	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase) (NME6)	O75414	NM_005793.3
B01R17C06	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase) (NME6)	O75414	NM_005793.3
B01R17C07	nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1	P22736	NM_002135.3
B01R17C08	nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1	P22736	NM_002135.3
B01R17C09	interleukin 17 receptor E (IL17RE)	A6NL85	BC063110.1
B01R17C10	interleukin 17 receptor E (IL17RE)	A6NL85	BC063110.1
B01R17C11	keratin associated protein 3-3 (KRTAP3-3)	Q9BYR6	NM_033185.2
B01R17C12	keratin associated protein 3-3 (KRTAP3-3)	Q9BYR6	NM_033185.2
B01R17C13	PCTAIRE protein kinase 3 (PCTK3)	Q07002	BC011526.1,BC040529.1
B01R17C14	PCTAIRE protein kinase 3 (PCTK3)	Q07002	BC011526.1,BC040529.1
B01R17C15	F-box protein 36 (FBXO36)	Q8NEA4	NM_174899.3,BC017869.1
