name	description	pvalue
Hs~Ref:NM_012215.1~uORF:IOH52962	Bifunctional protein NCOAT	0.009153738356137293
Hs~MGC:BC093051.1~uORF:IOH63174	Nuclear protein Hcc-1	0.010194647597375811
Hs~Ref:NM_002064.1~uORF:IOH58942	Glutaredoxin-1	0.011010458663223026
Hs~Ref:NM_203471.1~uORF:IOH44569	lectin, galactoside-binding, soluble, 14 (LGALS14), transcript variant 2	0.011103922325991382
Hs~Ref:NM_000689.3~uORF:IOH57094	Retinal dehydrogenase 1	0.01113223625963304
Hs~MGC:BC015547.1~uORF:IOH10337	uridine-cytidine kinase 1 (UCK1)	0.011588973497105864
Hs~Ref:NM_144606.1~uORF:IOH12359	folliculin (FLCN), transcript variant 2	0.012060837260784694
Hs~Ref:NM_004912.3~uORF:IOH38232	KRIT1, ankyrin repeat containing (KRIT1), transcript variant 2	0.012345618358970183
Hs~Ref:NM_002811.3~uORF:IOH59072	26S proteasome non-ATPase regulatory subunit 7	0.012885074445600097
Hs~Ref:NM_002031.1~CAT:PV3874	Tyrosine-protein kinase FRK	0.01292487408929291
Hs~Ref:NM_012474.3~uORF:IOH40599	uridine-cytidine kinase 2 (UCK2)	0.01319621574694792
Hs~MGC:BC008094.1~uORF:IOH3305	retinal G protein coupled receptor (RGR)	0.013504088981001531
Hs~MGC:BC065552.1~uORF:IOH40470	isoleucyl-tRNA synthetase (IARS)	0.015098101906220355
Hs~Ref:NM_005546.3~CAT:PV3875	IL2-inducible T-cell kinase (ITK)	0.015153995546495007
Hs~MGC:NM_198081.1~uORF:IOH25820	sex comb on midleg-like 4 (Drosophila) (SCML4)	0.016459593416143573
Hs~Ref:NM_001012984.1~uORF:IOH54807	Uncharacterized protein C16orf86	0.01769552872311586
Hs~Ref:NM_014314.3~uORF:IOH52971	Probable ATP-dependent RNA helicase DDX58	0.018172559745053402
Hs~MGC:BC103694.1~uORF:IOH63599	NKG2D ligand 4	0.01844800691908709
Hs~MGC:BC012876.1~uORF:IOH10177	Ig lambda chain C regions	0.018473818310048885
Hs~MGC:BC015749.1~uORF:IOH13588	syntaxin binding protein 1 (STXBP1)	0.018695374120830974
Hs~Ref:NM_005917.2~uORF:IOH59077	Malate dehydrogenase, cytoplasmic	0.019764909482366144
Hs~Ref:NM_024540.2~uORF:IOH14529	mitochondrial ribosomal protein L24 (MRPL24), nuclear gene encoding mitochondrial protein, transcript variant 2	0.020770280910473823
Hs~Ref:NM_002870.1~uORF:IOH3059	RAB13, member RAS oncogene family (RAB13)	0.020850812925602497
Hs~Ref:NM_003321.3~uORF:IOH4865	Tu translation elongation factor, mitochondrial (TUFM)	0.02133144592503148
Hs~MGC:BC007315.1~uORF:IOH5888	CCR4-NOT transcription complex, subunit 7 (CNOT7)	0.021504916199585118
Hs~Ref:NM_014276.2~uORF:IOH43732	recombination signal binding protein for immunoglobulin kappa J region-like (RBPJL)	0.021533040554872596
Hs~MGC:BC008964.2~uORF:IOH56888	6-phosphofructokinase, liver type	0.021579267488361992
Hs~Ref:NM_139164.1~uORF:IOH59717	StAR-related lipid transfer protein 4	0.021941571150667843
Hs~Ref:NM_001071.1~uORF:IOH4024	thymidylate synthetase (TYMS)	0.022120176093216277
Hs~MGC:NM_152338.1~uORF:IOH22692	zymogen granule protein 16 (ZG16)	0.022350284674231724
Hs~Ref:NM_000366.5~uORF:IOH56864	tropomyosin 1 (alpha) (TPM1), transcript variant 5, mRNA.	0.022379994785821474
Hs~Ref:NM_199183.1~uORF:IOH60515	Putative testis serine protease 5	0.02413233756518313
Hs~Ref:NM_206919.1~uORF:IOH43014	ADP-ribosylation factor-like 9 (ARL9)	0.02474933145863776
Hs~MGC:BC066256.1~uORF:IOH61852	Interleukin-2	0.024830037831297117
Hs~Ref:NM_006398.2~uORF:IOH59996	Ubiquitin D	0.0250680404229961
Hs~MGC:BC011365.1~uORF:IOH9656	glyoxalase I (GLO1)	0.025684096720764556
Hs~MGC:BC021987.2~uORF:IOH27886	N-myc (and STAT) interactor (NMI)	0.02622701455359273
Hs~MGC:BC009194.2~uORF:IOH13702	polymerase (DNA directed), gamma 2, accessory subunit (POLG2)	0.026511614954629874
Hs~Ref:NM_017822.2~uORF:IOH13333	chromosome 12 open reading frame 41 (C12orf41)	0.02741147151812831
Hs~Ref:NM_004738.1~uORF:IOH4934	VAMP (vesicle-associated membrane protein)-associated protein B and C (VAPB)	0.027419050730567617
Hs~Ref:NM_007026.1~uORF:IOH21130	dual specificity phosphatase 14 (DUSP14)	0.027503898818333258
Hs~Ref:NM_017850.1~uORF:IOH45670	Uncharacterized protein C1orf109	0.028082425049638746
Hs~MGC:BC032842.1~uORF:IOH62113	family with sequence similarity 71, member F1, mRNA (cDNA clone MGC:32919 IMAGE:4829634), complete cds.	0.0280891491688087
Hs~Ref:NM_152716.1~uORF:IOH38079	FLJ36874 protein (FLJ36874)	0.028200891564678438
Hs~MGC:BC019254.1~uORF:IOH12801	Ecto-NOX disulfide-thiol exchanger 2	0.02954142355981634
Hs~MGC:BC009478.1~uORF:IOH12273	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae) (DCUN1D1)	0.029844834723812684
Hs~Ref:NM_206909.1~uORF:IOH43255	pleckstrin and Sec7 domain containing 3 (PSD3), transcript variant 2	0.029938512524746618
Hs~Ref:NM_024093.1~uORF:IOH3089	chromosome 2 open reading frame 49 (C2orf49)	0.03015684758366847
Hs~Ref:NM_003584.1~uORF:IOH53923	RNA/RNP complex-1-interacting phosphatase	0.030251159101926512
Hs~Ref:NM_000486.2~uORF:IOH27325	aquaporin 2 (collecting duct) (AQP2)	0.03173549669243048
Hs~MGC:BC034528.1~uORF:IOH22201	serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8)	0.031792883551981406
Hs~Ref:NM_016208.1~uORF:IOH5976	vacuolar protein sorting 28 homolog (S. cerevisiae) (VPS28), transcript variant 1	0.032099040428835365
Hs~Ref:NM_006651.2~uORF:IOH4343	complexin 1 (CPLX1)	0.03218633230525012
Hs~Ref:NM_052940.3~uORF:IOH10671	leucine rich repeat containing 42 (LRRC42)	0.032691291229023756
Hs~MGC:BC029560.1~uORF:IOH21582	vacuolar protein sorting 53 homolog (S. cerevisiae) (VPS53)	0.03271969591701762
Hs~Ref:NM_033259.1~uORF:IOH42049	calcium/calmodulin-dependent protein kinase II inhibitor 2 (CAMK2N2)	0.03364102616235379
Hs~MGC:BC013900.1~uORF:IOH27818	chromosome 12 open reading frame 41 (C12orf41)	0.033754979402754424
Hs~MGC:BC032466.1~uORF:IOH21695	nicotinate phosphoribosyltransferase domain containing 1 (NAPRT1)	0.03412768890895671
Hs~Ref:NM_003618.2~N/A	Mitogen-activated protein kinase kinase kinase kinase 3	0.03450550917332604
Hs~Ref:NM_172160.1~uORF:IOH35727	potassium voltage-gated channel, shaker-related subfamily, beta member 1 (KCNAB1), transcript variant 1	0.03473184541288743
Hs~MGC:BC018732.1~uORF:IOH14058	cytochrome b5 reductase 1 (CYB5R1)	0.03579619272451529
Hs~MGC:BC053545.1~uORF:IOH28972	tropomyosin 1 (alpha) (TPM1)	0.03673939619957145
Hs~MGC:BC020713.1~uORF:IOH12329	serpin peptidase inhibitor, clade B (ovalbumin), member 5 (SERPINB5)	0.03725048526269772
Hs~Ref:NM_007135.1~uORF:IOH40671	zinc finger protein 79 (ZNF79)	0.0375501777052455
Hs~Ref:NM_004503.2~uORF:IOH42979	homeobox C6 (HOXC6), transcript variant 1	0.038432749451119214
Hs~MGC:BC066294.1~uORF:IOH40058	lysozyme-like 2 (LYZL2)	0.038936426013390896
Hs~Ref:NM_153289.2~uORF:IOH40759	defensin, beta 119 (DEFB119), transcript variant 1	0.039783714257911815
Hs~MGC:BC067435.1~uORF:IOH62535	Cytochrome P450 2E1	0.04185548943906216
Hs~Ref:NM_001912.2~uORF:IOH53927	Cathepsin L1	0.043118661256743455
Hs~MGC:BC008892.1~uORF:IOH6264	aldehyde dehydrogenase 3 family, memberA1 (ALDH3A1)	0.043124344820803746
Hs~Ref:NM_003616.2~uORF:IOH44332	survival of motor neuron protein interacting protein 1 (SIP1), transcript variant alpha	0.04312784921775205
Hs~Ref:NM_005975.2~uORF:IOH37738	PTK6 protein tyrosine kinase 6 (PTK6)	0.04335748601738849
Hs~MGC:BC036056.1~uORF:IOH27184	Fanconi anemia, complementation group M (FANCM)	0.043407283887290045
Hs~MGC:BC090938.1~uORF:IOH62696	Ig gamma-1 chain C region	0.04347024684801012
Hs~Ref:NM_024591.1~uORF:IOH13020	chromatin modifying protein 6 (CHMP6)	0.04426534872874938
Hs~Ref:NM_002745.2~CAT:PV3313	Mitogen-activated protein kinase 1; see catalog number for detailed information on wild-type or point mutant status	0.044385751290939836
Hs~MGC:BC063451.1~uORF:IOH39854	t-complex 10 (mouse) (TCP10)	0.04439042616114729
Hs~MGC:BC002519.2~uORF:IOH62827	Bifunctional polynucleotide phosphatase/kinase	0.04462716101960045
Hs~Ref:NM_002907.2~uORF:IOH55572	ATP-dependent DNA helicase Q1	0.04502709481323782
Hs~Ref:NM_144659.1~uORF:IOH21795	t-complex 10 (mouse)-like (TCP10L)	0.04561885430273459
Hs~Ref:NM_006555.2~uORF:IOH5843	YKT6 v-SNARE homolog (S. cerevisiae) (YKT6)	0.0458661480741336
Hs~Ref:NM_001004300.1~uORF:IOH40180	zinc finger protein 720 (ZNF720)	0.046280861443627405
Hs~MGC:BC016929.1~uORF:IOH11225	MHC class I polypeptide-related sequence A (MICA)	0.04628126362695273
Hs~MGC:BC036391.1~uORF:IOH22062	CUG triplet repeat, RNA binding protein 2 (CUGBP2)	0.046821530611311814
Hs~MGC:BC012183.1~uORF:IOH46141	Ubiquilin-like protein	0.04718055110543626
Hs~Ref:NM_012199.2~uORF:IOH55724	Eukaryotic translation initiation factor 2C 1	0.04721576790288693
Hs~MGC:NM_199334.2~uORF:IOH6734	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian) (THRA), transcript variant 1	0.048420790367399325
Hs~MGC:BC052805.1~uORF:IOH29378	erythrocyte membrane protein band 4.9 (dematin) (EPB49)	0.04844214902903474
Hs~MGC:BC022098.1~uORF:IOH14790	cDNA clone MGC:31944 IMAGE:4878869, complete cds	0.049093153557300574
Hs~Ref:NM_172178.1~uORF:IOH44756	mitochondrial ribosomal protein L42 (MRPL42), nuclear gene encoding mitochondrial protein, transcript variant 3	0.049600599167211684
Hs~Ref:NM_004853.1~uORF:IOH9940	syntaxin 8 (STX8)	0.05003793720472133
Hs~Ref:NM_003289.3~uORF:IOH41299	tropomyosin 2 (beta) (TPM2), transcript variant 1	0.05047726729736708
Hs~MGC:BC004368.1~uORF:IOH5600	proteasome (prosome, macropain) activator subunit 2 (PA28 beta) (PSME2)	0.05095962281035416
Hs~MGC:NM_201263.1~uORF:IOH43175	tryptophanyl tRNA synthetase 2, mitochondrial (WARS2), nuclear gene encoding mitochondrial protein, transcript variant 2	0.05112468112997607
Hs~Ref:NM_001425.1~uORF:IOH9872	epithelial membrane protein 3 (EMP3)	0.0518007020519641
Hs~MGC:BC020747.1~uORF:IOH14518	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7 (SERPINA7)	0.05197693796253646
Hs~Ref:NM_138972.2~uORF:IOH39612	beta-site APP-cleaving enzyme 1 (BACE1), transcript variant b	0.05245980019385298
Hs~MGC:BC074956.2~uORF:IOH61932	Interferon alpha-14	0.05252608937165994
Hs~MGC:BC020637.1~uORF:IOH12160	interleukin 1 family, member 7 (zeta) (IL1F7)	0.052748869924388486
Hs~MGC:BC040339.1~uORF:IOH25738	nucleotide-binding oligomerization domain containing 1 (NOD1)	0.05422426428230723
Hs~MGC:BC021969.2~uORF:IOH13337	Uncharacterized protein C1orf176	0.054701239338641426
Hs~Ref:NM_015891.2~uORF:IOH44384	cell division cycle 40 homolog (S. cerevisiae) (CDC40)	0.05480891251781482
Hs~Ref:NM_003335.2~uORF:IOH6479	ubiquitin-activating enzyme E1-like (UBE1L)	0.05532660086479481
Hs~MGC:NM_005702.1~uORF:IOH13346	Era G-protein-like 1 (E. coli) (ERAL1)	0.055766164521024654
Hs~Ref:NM_001018025.2~uORF:IOH58944	Protein p13 MTCP-1	0.0560648312090477
Hs~Ref:NM_016535.1~uORF:IOH4783	zinc finger protein 581 (ZNF581)	0.05627082441593188
Hs~Ref:NM_003159.1~N/A	Cyclin-dependent kinase-like 5	0.05704165798184033
Hs~Ref:NM_000600.1~CAT_PHC0066	Interleukin-6	0.057525705717106065
Hs~MGC:BC066944.1~uORF:IOH61484	Adenylate kinase isoenzyme 4, mitochondrial	0.057810658114327014
Hs~Ref:NM_017437.1~uORF:IOH38302	cleavage and polyadenylation specific factor 2, 100kDa (CPSF2)	0.05786014057233904
Hs~Ref:NM_001896.2~CAT:PV3624	casein kinase 2, alpha prime polypeptide (CSNK2A2)	0.057992134782775574
Hs~MGC:BC032452.1~uORF:IOH21664	immunoglobulin lambda locus (IGL@)	0.05803163461979199
Hs~Ref:NM_006799.2~uORF:IOH45736	protease, serine, 21 (testisin) (PRSS21), transcript variant 1	0.05863706765252689
Hs~MGC:BC007618.1~uORF:IOH6923	immunoglobin superfamily, member 21 (IGSF21)	0.05936973657519589
Hs~Ref:NM_006644.2~uORF:IOH27526	heat shock 105kDa/110kDa protein 1 (HSPH1)	0.05965000519803099
Hs~Ref:NM_000262.1~uORF:IOH4589	N-acetylgalactosaminidase, alpha- (NAGA)	0.06046677251774755
Hs~MGC:BC015684.2~uORF:IOH14516	tripartite motif family-like 1 (TRIML1)	0.060656001772460486
Hs~Ref:NM_007198.1~uORF:IOH12511	proline synthetase co-transcribed homolog (bacterial) (PROSC)	0.06169085037028812
Hs~MGC:BC017371.1~uORF:IOH14347	ELK3, ETS-domain protein (SRF accessory protein 2) (ELK3)	0.06210379156173828
Hs~MGC:BC092518.1~uORF:IOH62695	Ig gamma-1 chain C region	0.06304683609600184
Hs~MGC:BC031564.1~uORF:IOH22698	chromosome 11 open reading frame 75 (C11orf75)	0.06368110309066077
Hs~Ref:NM_007066.3~uORF:IOH42371	cAMP-dependent protein kinase inhibitor gamma	0.06411970256500661
Hs~Ref:NM_000712.3~uORF:IOH7401	biliverdin reductase A (BLVRA)	0.06436465086494524
Hs~MGC:BC002827.1~uORF:IOH5413	tropomyosin 4 (TPM4)	0.06450368362798332
Hs~Ref:NM_201403.1~uORF:IOH42184	MOB1, Mps One Binder kinase activator-like 2C (yeast) (MOBKL2C), transcript variant 2	0.06492413163944112
Hs~Ref:NM_053004.1~uORF:IOH14758	guanine nucleotide binding protein (G protein), beta polypeptide 1-like (GNB1L)	0.06493053393620367
Hs~MGC:BC016755.1~uORF:IOH12873	complement factor H-related 1 (CFHR1)	0.06508688974134368
Hs~Ref:NM_024430.1~uORF:IOH27423	proline-serine-threonine phosphatase interacting protein 2 (PSTPIP2)	0.06543556827454537
Hs~Ref:NM_005390.1~uORF:IOH22280	pyruvate dehydrogenase (lipoamide) alpha 2 (PDHA2)	0.06611904864252008
Hs~Ref:NM_001006667.1~uORF:IOH58767	Tachykinin-3	0.06649012636242159
Hs~Ref:NM_024314.1~uORF:IOH5409	hypothetical protein MGC4294 (MGC4294)	0.06732704819620165
Hs~Ref:NM_015415.1~uORF:IOH41193	brain protein 44 (BRP44)	0.06743989902846795
Hs~MGC:BC032851.2~uORF:IOH27168	Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB)	0.06756654859918916
Hs~Ref:NM_001221.2~uORF:IOH54032	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta (CAMK2D), transcript variant 3	0.06757593870914962
Hs~MGC:BC020605.1~uORF:IOH12851	Protein CARP	0.06782094206738543
Hs~Ref:NM_014281.3~uORF:IOH57033	Poly(U)-binding-splicing factor PUF60	0.06799676800354174
Hs~Ref:NM_006755.1~uORF:IOH2052	transaldolase 1 (TALDO1)	0.06828339954146215
Hs~MGC:BC047567.1~uORF:IOH26429	casein kinase 1, gamma 3 (CSNK1G3)	0.06834639064163817
Hs~MGC:BC008365.1~uORF:IOH5958	Transmembrane protein 205	0.06854879198641442
Hs~MGC:BC093070.1~uORF:IOH63176	L-asparaginase	0.06914421540412605
Hs~Ref:NM_001859.2~uORF:IOH11517	solute carrier family 31 (copper transporters), member 1 (SLC31A1)	0.06926759771674054
Hs~MGC:NM_006857.1~uORF:IOH13197	putative nucleic acid binding protein RY-1 (RY1)	0.06952298368440431
Hs~MGC:BC012885.1~uORF:IOH10554	Plexin domain-containing protein 2	0.06965886886815366
Hs~MGC:BC011618.2~uORF:IOH13944	Probetacellulin	0.06999146833994772
Hs~MGC:BC011636.2~uORF:IOH14389	Protein phosphatase Slingshot homolog 2	0.07037231617008916
Hs~Ref:NM_004708.2~uORF:IOH11821	programmed cell death 5 (PDCD5)	0.07043972509804443
Hs~Ref:NM_030810.1~uORF:IOH4474	thioredoxin domain containing 5 (TXNDC5), transcript variant 1	0.07047062288835641
Hs~Ref:NM_181710.2~uORF:IOH40189	zinc and ring finger 4 (ZNRF4)	0.07057890325618849
Hs~MGC:NM_177552.1~uORF:IOH12788	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 (SULT1A3), transcript variant 2	0.07061102361931323
Hs~Ref:NM_016495.1~uORF:IOH7137	TBC1 domain family, member 7 (TBC1D7)	0.07068238264998226
Hs~MGC:BC053617.1~uORF:IOH29004	B-cell CLL/lymphoma 10 (BCL10)	0.0707187056052726
Hs~MGC:BC072419.1~uORF:IOH62555	Ig gamma-1 chain C region	0.07151926172856385
Hs~MGC:BC056414.1~uORF:IOH29116	plasmalemma vesicle associated protein (PLVAP)	0.07236325528712594
Hs~MGC:BC006199.1~uORF:IOH5745	Cytosol aminopeptidase	0.0726301059987473
Hs~Ref:NM_007284.1~uORF:IOH5114	twinfilin, actin-binding protein, homolog 2 (Drosophila) (TWF2)	0.07278631504279716
Hs~Ref:NM_004414.3~uORF:IOH5722	regulator of calcineurin 1 (RCAN1), transcript variant 1	0.0729773538429832
Hs~MGC:BC073841.1~uORF:IOH61759	Kinesin light chain 3	0.0747854130338788
Hs~Ref:NM_004760.1~CAT:PV3783	serine/threonine kinase 17a (STK17A)	0.07523106154513172
Hs~Ref:NM_080600.1~uORF:IOH38014	myelin associated glycoprotein (MAG), transcript variant 2	0.07544860174540725
Hs~Ref:NM_002387.1~uORF:IOH14306	mutated in colorectal cancers (MCC), transcript variant 2	0.07602202395598798
Hs~Ref:NM_032138.2~uORF:IOH10969	kelch repeat and BTB (POZ) domain containing 7 (KBTBD7)	0.07630746243190673
Hs~MGC:NM_031448.2~uORF:IOH5544	chromosome 19 open reading frame 12 (C19orf12), transcript variant 2	0.0777841905985062
Hs~Ref:NM_006695.2~uORF:IOH5798	RUN domain containing 3A (RUNDC3A)	0.07843359179166083
Hs~MGC:BC006318.1~uORF:IOH6433	erythrocyte membrane protein band 4.9 (dematin) (EPB49)	0.07849527344098586
Hs~Ref:NM_017952.2~uORF:IOH14124	Pentatricopeptide repeat-containing protein 3, mitochondrial	0.07852234024197748
Hs~MGC:BC006091.1~uORF:IOH6616	tumor suppressing subtransferable candidate 4 (TSSC4)	0.07883209751816504
Hs~Ref:NM_001694.2~uORF:IOH56918	V-type proton ATPase 16 kDa proteolipid subunit	0.07885585350096888
Hs~MGC:NM_199334.2~CAT:PV4762	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian) (THRA), transcript variant 1	0.07929841790296893
Hs~Ref:NM_005785.2~uORF:IOH21937	ring finger protein 41 (RNF41), transcript variant 1	0.07945162526105085
Hs~Ref:NM_002633.2~uORF:IOH26862	phosphoglucomutase 1 (PGM1)	0.07986304855019036
Hs~MGC:BC064367.1~uORF:IOH39904	ankyrin repeat and sterile alpha motif domain containing 6 (ANKS6)	0.08019687548988146
Hs~Ref:NM_006675.3~uORF:IOH41496	tetraspanin 9 (TSPAN9)	0.08061431587199691
Hs~Ref:NM_016011.2~uORF:IOH53949	Trans-2-enoyl-CoA reductase, mitochondrial	0.08061620561199935
Hs~MGC:BC002374.1~uORF:IOH3595	karyopherin alpha 1 (importin alpha 5) (KPNA1)	0.08068638656479431
Hs~Ref:NM_032284.2~uORF:IOH46080	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A (PRPF38A), transcript variant 1	0.08076184082573264
Hs~Ref:NM_018326.1~uORF:IOH14251	GTPase, IMAP family member 4 (GIMAP4)	0.08091531727863396
Hs~MGC:BC015993.1~uORF:IOH14875	Protein FAM151A	0.08260930709465708
Hs~MGC:BC033792.1~uORF:IOH21794	tumor protein D52-like 3 (TPD52L3)	0.08261288970267106
Hs~MGC:BC062740.1~uORF:IOH62863	Tropomyosin alpha-3 chain	0.08284724546226539
Hs~Ref:NM_001799.2~CAT:PV3868	cyclin-dependent kinase 7	0.0828830385097571
Hs~MGC:BC015239.1~uORF:IOH10789	zinc finger and BTB domain containing 8 (ZBTB8)	0.08289501959360428
Hs~Ref:NM_003277.1~uORF:IOH3589	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome) (CLDN5)	0.082956813152339
Hs~MGC:BC011014.1~uORF:IOH12165	fracture callus 1 homolog (rat) (FXC1)	0.08299481843586126
Hs~MGC:NM_178523.2~uORF:IOH21749	zinc finger protein 616 (ZNF616)	0.0836784385906969
Hs~Ref:NM_000359.1~uORF:IOH22155	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) (TGM1)	0.0847847082598996
Hs~MGC:BC018113.1~uORF:IOH11302	ubiquitin specific peptidase 3 (USP3)	0.0849027050289303
Hs~MGC:BC033864.1~uORF:IOH21842	branched chain aminotransferase 1, cytosolic (BCAT1)	0.0855138836082604
Hs~MGC:BC003040.1~uORF:IOH5055	aspartyl aminopeptidase (DNPEP)	0.08598393467494093
Hs~Ref:NM_032042.2~uORF:IOH11050	chromosome 5 open reading frame 21 (C5orf21)	0.08672270336269378
Hs~MGC:BC008407.1~uORF:IOH7438	tropomyosin 3 (TPM3)	0.08691508298355817
Hs~Ref:NM_002575.1~uORF:IOH53975	Plasminogen activator inhibitor 2	0.08812714676363143
Hs~Ref:NM_019083.1~uORF:IOH42080	coiled-coil domain containing 76, mRNA (cDNA clone MGC:87928 IMAGE:5104751), complete cds	0.08822064227107942
Hs~MGC:BC016380.1~uORF:IOH23077	cDNA clone MGC:27376 IMAGE:4688477, complete cds	0.08822463479105333
Hs~Ref:NM_014815.2~uORF:IOH9726	mediator complex subunit 24 (MED24), transcript variant 1	0.08956605897209377
Hs~MGC:BC007411.2~uORF:IOH5892	Protein diaphanous homolog 1	0.08991009588930339
Hs~Ref:NM_000586.2~CAT_PHC0027	interleukin 2 (IL2)	0.09002219471559533
Hs~MGC:BC035365.1~uORF:IOH28679	Sialic acid-binding Ig-like lectin 9	0.0902976025774655
Hs~MGC:BC015674.1~uORF:IOH13800	Tripartite motif-containing protein 16	0.0907090317386402
Hs~MGC:BC001946.1~uORF:IOH46145	bruno-like 4, RNA binding protein (Drosophila) (BRUNOL4)	0.09122936792424892
Hs~Ref:NM_138326.1~uORF:IOH12970	aminocarboxymuconate semialdehyde decarboxylase (ACMSD)	0.09128202170984226
Hs~MGC:BC059947.1~uORF:IOH39895	chondrosarcoma associated gene 1 (CSAG1)	0.09150863060693219
Hs~Ref:NM_001002232.1~uORF:IOH45883	kallikrein-related peptidase 2 (KLK2), transcript variant 3	0.09204754165239605
Hs~MGC:BC005008.1~uORF:IOH5603	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) (CEACAM6)	0.09212007800806729
Hs~Ref:NM_138289.1~uORF:IOH10781	actin-related protein T1 (ACTRT1)	0.09229677649829655
Hs~MGC:NM_152614.1~uORF:IOH22756	Uncharacterized protein C2orf57	0.092467342767641
Hs~Ref:NM_005861.2~uORF:IOH56981	STIP1 homology and U box-containing protein 1	0.09256022088531632
Hs~Ref:NM_018129.1~uORF:IOH5875	pyridoxamine 5'-phosphate oxidase (PNPO)	0.09280457675738862
Hs~MGC:BC009416.1~uORF:IOH12693	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae) (MRM1)	0.09289200391116198
Hs~Ref:NM_004164.2~uORF:IOH40388	retinol binding protein 2, cellular (RBP2)	0.09313834327489359
Hs~Ref:NM_207519.1~uORF:IOH45475	zeta-chain (TCR) associated protein kinase 70kDa (ZAP70), transcript variant 2	0.09324726309933885
