id	position	name	GSM2522610	GSM2522611	GSM2522612	GSM2522613	GSM2522618	GSM2522666	GSM2522667	GSM2522668	GSM2522669	GSM2522670	description
B01R04C21	1-21-4	Hs~MGC:BC011553.1~uORF:IOH12716	542	613	637	461	396	551	932	494	539	426	glutaminyl-peptide cyclotransferase-like (QPCTL)
B01R04C22	1-22-4	Hs~MGC:BC011553.1~uORF:IOH12716	527	591	612	457	398	559	936	499	1362	493	glutaminyl-peptide cyclotransferase-like (QPCTL)
B01R05C01	1-1-5	Hs~Ref:NM_032306.2~uORF:IOH5568	3446	1626	2353	2289	1808	2627	2110	1876	2797	1207	alkB, alkylation repair homolog 7 (E. coli) (ALKBH7)
B01R05C02	1-2-5	Hs~Ref:NM_032306.2~uORF:IOH5568	3112	1502	2125	2301	1690	2664	2208	1898	2490	1132	alkB, alkylation repair homolog 7 (E. coli) (ALKBH7)
B01R05C03	1-3-5	Hs~MGC:BC039269.1~uORF:IOH27269	471	357	764	331	301	598	1069	375	742	176	NLR family, pyrin domain containing 2 (NLRP2)
B01R05C04	1-4-5	Hs~MGC:BC039269.1~uORF:IOH27269	452	335	806	320	387	603	1016	327	708	177	NLR family, pyrin domain containing 2 (NLRP2)
B01R05C05	1-5-5	Hs~Ref:NM_006528.2~uORF:IOH7275	1339	862	1022	629	754	846	3351	711	1477	282	tissue factor pathway inhibitor 2 (TFPI2)
B01R05C06	1-6-5	Hs~Ref:NM_006528.2~uORF:IOH7275	1235	731	1018	599	683	991	3372	759	1249	295	tissue factor pathway inhibitor 2 (TFPI2)
B01R05C07	1-7-5	Hs~Ref:NM_017634.1~uORF:IOH22919	1564	582	512	278	526	602	684	1771	737	111	BTB/POZ domain-containing protein KCTD9
B01R05C08	1-8-5	Hs~Ref:NM_017634.1~uORF:IOH22919	1389	507	450	275	654	578	628	1669	699	94	BTB/POZ domain-containing protein KCTD9
B01R05C09	1-9-5	Hs~Ref:NM_002358.2~uORF:IOH7559	1050	660	1089	455	1223	511	522	652	1985	25	MAD2 mitotic arrest deficient-like 1 (yeast) (MAD2L1)
B01R05C10	1-10-5	Hs~Ref:NM_002358.2~uORF:IOH7559	999	622	1017	482	1239	442	603	694	2174	218	MAD2 mitotic arrest deficient-like 1 (yeast) (MAD2L1)
B01R05C11	1-11-5	Hs~Ref:NM_080916.1~uORF:IOH14211	1254	4076	1398	730	1495	1030	1620	870	2461	646	deoxyguanosine kinase (DGUOK), nuclear gene encoding mitochondrial protein, transcript variant 1
B01R05C12	1-12-5	Hs~Ref:NM_080916.1~uORF:IOH14211	1446	3649	1315	750	1490	1070	1547	876	2695	623	deoxyguanosine kinase (DGUOK), nuclear gene encoding mitochondrial protein, transcript variant 1
B01R05C13	1-13-5	Hs~MGC:BC013019.1~uORF:IOH14884	505	2293	368	220	1143	232	691	1145	748	279	coiled-coil domain containing 28A (CCDC28A)
B01R05C14	1-14-5	Hs~MGC:BC013019.1~uORF:IOH14884	337	1996	185	216	608	285	660	1096	709	90	coiled-coil domain containing 28A (CCDC28A)
B01R05C15	1-15-5	Hs~Ref:NM_002082.1~N/A	475	134	578	337	277	456	856	489	500	120	G protein-coupled receptor kinase 6
B01R05C16	1-16-5	Hs~Ref:NM_002082.1~N/A	426	324	514	333	266	522	975	480	568	184	G protein-coupled receptor kinase 6
B01R05C17	1-17-5	Hs~Ref:NM_003516.2~uORF:IOH4867	2713	1485	1893	1155	2547	1674	7685	1325	4385	718	histone cluster 2, H2aa3 (HIST2H2AA3)
B01R05C18	1-18-5	Hs~Ref:NM_003516.2~uORF:IOH4867	2504	1451	1798	1146	2120	1606	7343	1286	3941	762	histone cluster 2, H2aa3 (HIST2H2AA3)
B01R05C19	1-19-5	Hs~MGC:BC043581.1~uORF:IOH26300	2138	1272	1895	1107	1636	1861	1958	1600	4986	756	keratin 36 (KRT36)
B01R05C20	1-20-5	Hs~MGC:BC043581.1~uORF:IOH26300	1998	1181	1850	1061	1630	1648	2044	1578	5253	896	keratin 36 (KRT36)
B01R05C21	1-21-5	Hs~Ref:NM_004148.2~uORF:IOH28049	1100	974	1451	848	1149	1477	1977	918	3006	660	ninjurin 1 (NINJ1)
B01R05C22	1-22-5	Hs~Ref:NM_004148.2~uORF:IOH28049	1045	961	1455	832	1143	1519	1988	1006	2675	632	ninjurin 1 (NINJ1)
B01R06C01	1-1-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1388	1190	1503	1389	1312	1223	1775	1091	2760	1001	cytochrome c oxidase subunit VIIa polypeptide 2 like (COX7A2L), nuclear gene encoding mitochondrial protein
B01R06C02	1-2-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1370	1091	1489	1425	1288	1144	1835	1048	2676	1129	cytochrome c oxidase subunit VIIa polypeptide 2 like (COX7A2L), nuclear gene encoding mitochondrial protein
B01R06C03	1-3-6	Hs~Ref:NM_018097.1~uORF:IOH12063	563	434	627	396	309	508	927	458	720	148	centrosomal protein 27kDa (CEP27)
B01R06C04	1-4-6	Hs~Ref:NM_018097.1~uORF:IOH12063	632	425	625	401	424	506	981	482	736	152	centrosomal protein 27kDa (CEP27)
B01R06C05	1-5-6	Hs~Ref:NM_002370.2~uORF:IOH10502	938	623	1033	531	518	644	1030	494	1570	1231	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH)
B01R06C06	1-6-6	Hs~Ref:NM_002370.2~uORF:IOH10502	852	556	1079	559	525	870	1104	503	1580	1277	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH)
B01R06C07	1-7-6	Hs~Ref:NM_017812.1~uORF:IOH11162	619	432	640	338	494	611	707	425	921	304	coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3)
B01R06C08	1-8-6	Hs~Ref:NM_017812.1~uORF:IOH11162	626	491	654	399	506	565	696	425	987	-7	coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3)
B01R06C09	1-9-6	Hs~Ref:NM_002880.1~uORF:IOH10773	872	750	946	676	655	738	1019	651	1395	796	v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1)
B01R06C10	1-10-6	Hs~Ref:NM_002880.1~uORF:IOH10773	895	836	875	703	642	828	962	650	1455	800	v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1)
B01R06C11	1-11-6	Hs~Ref:NM_001280.1~uORF:IOH2905	3046	1901	2376	1249	1443	1394	7751	1124	3478	1200	cold inducible RNA binding protein (CIRBP)
B01R06C12	1-12-6	Hs~Ref:NM_001280.1~uORF:IOH2905	3200	1781	2307	1256	1456	1439	7634	1139	3464	850	cold inducible RNA binding protein (CIRBP)
B01R06C13	1-13-6	Hs~MGC:BC001304.1~uORF:IOH3065	528	1181	569	397	755	661	701	498	812	219	piccolo (presynaptic cytomatrix protein) (PCLO)
B01R06C14	1-14-6	Hs~MGC:BC001304.1~uORF:IOH3065	465	1100	563	358	608	659	687	479	716	16	piccolo (presynaptic cytomatrix protein) (PCLO)
B01R06C15	1-15-6	Hs~MGC:BC009048.1~uORF:IOH3342	888	1388	1152	656	1427	775	1395	745	1387	444	tubulointerstitial nephritis antigen-like 1 (TINAGL1)
B01R06C16	1-16-6	Hs~MGC:BC009048.1~uORF:IOH3342	949	1210	1056	738	1264	889	1131	762	1709	456	tubulointerstitial nephritis antigen-like 1 (TINAGL1)
B01R06C17	1-17-6	Hs~Ref:NM_014713.2~uORF:IOH3687	678	559	870	412	511	624	861	555	1320	187	lysosomal-associated protein transmembrane 4 alpha (LAPTM4A)
B01R06C18	1-18-6	Hs~Ref:NM_014713.2~uORF:IOH3687	668	556	870	473	390	624	978	569	1050	464	lysosomal-associated protein transmembrane 4 alpha (LAPTM4A)
B01R06C19	1-19-6	Hs~Ref:NM_005402.1~uORF:IOH26207	586	420	686	446	394	3347	849	531	740	218	v-ral simian leukemia viral oncogene homolog A (ras related) (RALA)
B01R06C20	1-20-6	Hs~Ref:NM_005402.1~uORF:IOH26207	614	420	703	428	394	4077	857	535	1140	236	v-ral simian leukemia viral oncogene homolog A (ras related) (RALA)
B01R06C21	1-21-6	Hs~MGC:BC044587.1~uORF:IOH26741	1545	612	612	554	785	850	920	526	1128	194	LSM12 homolog (S. cerevisiae) (LSM12)
B01R06C22	1-22-6	Hs~MGC:BC044587.1~uORF:IOH26741	1337	596	604	548	725	867	972	538	1108	203	LSM12 homolog (S. cerevisiae) (LSM12)
B01R07C01	1-1-7	Hs~MGC:BC048099.1~uORF:IOH26742	1884	1967	1845	1319	1170	1171	2285	1432	2779	649	zinc finger and SCAN domain containing 1 (ZSCAN1)
B01R07C02	1-2-7	Hs~MGC:BC048099.1~uORF:IOH26742	1744	1910	1679	1338	1104	1126	2338	1346	2908	722	zinc finger and SCAN domain containing 1 (ZSCAN1)
B01R07C03	1-3-7	Hs~MGC:BC040036.1~uORF:IOH26343	623	597	611	327	432	737	1044	543	1498	111	chromosome 17 open reading frame 49 (C17orf49)
B01R07C04	1-4-7	Hs~MGC:BC040036.1~uORF:IOH26343	586	535	580	295	498	695	1085	550	1437	343	chromosome 17 open reading frame 49 (C17orf49)
B01R07C05	1-5-7	Hs~MGC:BC005955.1~uORF:IOH7485	2740	1096	1340	914	704	1527	8101	1193	2962	557	chromosome 8 open reading frame 53 (C8orf53)
B01R07C06	1-6-7	Hs~MGC:BC005955.1~uORF:IOH7485	2277	1043	1329	961	728	1631	8379	1152	2995	690	chromosome 8 open reading frame 53 (C8orf53)
B01R07C07	1-7-7	Hs~MGC:BC035217.1~uORF:IOH26791	699	486	1045	534	733	846	1997	372	1089	322	arachidonate 15-lipoxygenase, type B (ALOX15B)
B01R07C08	1-8-7	Hs~MGC:BC035217.1~uORF:IOH26791	651	457	965	528	759	738	1854	408	1043	305	arachidonate 15-lipoxygenase, type B (ALOX15B)
B01R07C09	1-9-7	Hs~MGC:BC028366.1~uORF:IOH22335	2157	954	1222	809	2798	1384	1460	3434	1865	456	testis specific, 10 (TSGA10)
B01R07C10	1-10-7	Hs~MGC:BC028366.1~uORF:IOH22335	2039	874	1216	752	2697	1384	1333	3323	1819	523	testis specific, 10 (TSGA10)
B01R07C11	1-11-7	Hs~MGC:BC035492.1~uORF:IOH25729	1275	548	972	479	668	1065	1300	491	1129	962	mitogen-activated protein kinase 6 (MAPK6)
B01R07C12	1-12-7	Hs~MGC:BC035492.1~uORF:IOH25729	1464	523	992	512	717	1103	1328	470	1247	174	mitogen-activated protein kinase 6 (MAPK6)
B01R07C13	1-13-7	Hs~Ref:XM_374188.3~uORF:IOH44541	1364	1065	1196	755	1815	925	1572	755	2129	667	Putative uncharacterized protein C6orf99
B01R07C14	1-14-7	Hs~Ref:XM_374188.3~uORF:IOH44541	1129	778	1269	806	1406	884	1554	826	1895	32	Putative uncharacterized protein C6orf99
B01R07C15	1-15-7	Hs~Ref:NM_174925.1~uORF:IOH43618	4199	944	1375	677	1074	832	1508	756	1957	587	hypothetical protein LOC205251 (LOC205251)
B01R07C16	1-16-7	Hs~Ref:NM_174925.1~uORF:IOH43618	4317	978	1334	836	988	810	1314	792	2038	669	hypothetical protein LOC205251 (LOC205251)
B01R07C17	1-17-7	Hs~Ref:NM_138640.1~uORF:IOH40942	1320	1294	3142	1801	659	1153	1311	640	2076	727	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), transcript variant 2
B01R07C18	1-18-7	Hs~Ref:NM_138640.1~uORF:IOH40942	1230	1138	2950	1648	559	1023	1347	638	1934	758	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), transcript variant 2
B01R07C19	1-19-7	Hs~Ref:NM_172014.1~uORF:IOH44426	1595	1480	1816	1058	1546	1135	2432	1153	3392	773	tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14), transcript variant 2
B01R07C20	1-20-7	Hs~Ref:NM_172014.1~uORF:IOH44426	1646	1397	1778	1033	1660	472	2289	1144	3495	709	tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14), transcript variant 2
B01R07C21	1-21-7	Hs~MGC:BC000691.1~uORF:IOH4341	2328	1279	1619	1595	2241	2779	3772	2469	4288	790	tubulin polymerization-promoting protein family member 3 (TPPP3)
B01R07C22	1-22-7	Hs~MGC:BC000691.1~uORF:IOH4341	2233	1255	1530	1549	2338	2724	3615	2359	3950	840	tubulin polymerization-promoting protein family member 3 (TPPP3)
B01R08C01	1-1-8	Hs~Ref:NM_012117.1~uORF:IOH3162	4097	1666	2341	2785	5919	8786	5133	1285	5100	1083	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5)
B01R08C02	1-2-8	Hs~Ref:NM_012117.1~uORF:IOH3162	3668	1566	2183	2757	4948	8708	5323	1184	4811	1007	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5)
B01R08C03	1-3-8	Hs~Ref:NM_025133.3~uORF:IOH44015	4996	1072	1627	977	1170	1241	3269	840	2340	0	F-box protein 11 (FBXO11), transcript variant 1
B01R08C04	1-4-8	Hs~Ref:NM_025133.3~uORF:IOH44015	4538	1102	1701	950	1603	1194	3438	827	2494	286	F-box protein 11 (FBXO11), transcript variant 1
B01R08C05	1-5-8	Hs~Ref:NM_002346.1~uORF:IOH42082	1056	766	1083	535	1009	812	1320	660	1663	1322	lymphocyte antigen 6 complex, locus E (LY6E)
B01R08C06	1-6-8	Hs~Ref:NM_002346.1~uORF:IOH42082	963	762	1196	577	990	902	1322	714	1602	310	lymphocyte antigen 6 complex, locus E (LY6E)
B01R08C07	1-7-8	Hs~MGC:BC019247.1~uORF:IOH11023	870	543	993	1287	1011	635	1131	599	3168	354	sperm associated antigen 8 (SPAG8)
B01R08C08	1-8-8	Hs~MGC:BC019247.1~uORF:IOH11023	830	606	926	1276	999	619	1109	505	3378	390	sperm associated antigen 8 (SPAG8)
B01R08C09	1-9-8	Hs~Ref:NM_014214.1~uORF:IOH13690	919	1220	1671	2616	1619	1138	1134	1461	2970	440	inositol(myo)-1(or 4)-monophosphatase 2 (IMPA2)
B01R08C10	1-10-8	Hs~Ref:NM_014214.1~uORF:IOH13690	893	1111	1521	2378	1662	1176	1132	1447	2742	434	inositol(myo)-1(or 4)-monophosphatase 2 (IMPA2)
B01R08C11	1-11-8	Hs~Ref:NM_015343.1~uORF:IOH12711	927	722	786	541	765	546	1009	1227	1047	229	dullard homolog (Xenopus laevis) (DULLARD)
B01R08C12	1-12-8	Hs~Ref:NM_015343.1~uORF:IOH12711	999	735	854	550	728	496	1064	1303	1210	274	dullard homolog (Xenopus laevis) (DULLARD)
B01R08C13	1-13-8	Hs~Ref:NM_032929.1~uORF:IOH7540	1507	1855	942	2235	1264	807	1730	1575	3593	9699	ubiquitin specific protease 45 (USP45)
B01R08C14	1-14-8	Hs~Ref:NM_032929.1~uORF:IOH7540	1180	1538	907	2121	1833	790	1763	1538	3229	8145	ubiquitin specific protease 45 (USP45)
B01R08C15	1-15-8	Hs~MGC:BC037311.1~uORF:IOH27689	1601	1149	1579	870	1211	1079	3302	756	2287	639	Voltage-dependent L-type calcium channel subunit beta-1
B01R08C16	1-16-8	Hs~MGC:BC037311.1~uORF:IOH27689	1531	1164	1501	928	972	1107	2960	834	2377	642	Voltage-dependent L-type calcium channel subunit beta-1
B01R08C17	1-17-8	Hs~MGC:BC042848.1~uORF:IOH27665	692	447	752	440	239	552	1074	405	978	220	tetratricopeptide repeat domain 30A (TTC30A)
B01R08C18	1-18-8	Hs~MGC:BC042848.1~uORF:IOH27665	714	485	811	409	494	817	1038	400	1026	163	tetratricopeptide repeat domain 30A (TTC30A)
B01R08C19	1-19-8	Hs~Ref:NM_002884.1~uORF:IOH14475	544	447	597	3582	575	536	728	418	1363	182	RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2
B01R08C20	1-20-8	Hs~Ref:NM_002884.1~uORF:IOH14475	527	436	598	3745	577	474	737	400	269	154	RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2
B01R08C21	1-21-8	Hs~MGC:BC024004.1~uORF:IOH11309	1907	1210	4112	978	1585	2782	5287	1453	2062	494	Rap guanine nucleotide exchange factor (GEF) 4 (RAPGEF4)
B01R08C22	1-22-8	Hs~MGC:BC024004.1~uORF:IOH11309	1760	1225	3915	919	1576	2773	4910	1486	1962	510	Rap guanine nucleotide exchange factor (GEF) 4 (RAPGEF4)
B01R09C01	1-1-9	Hs~Ref:NM_014420.2~uORF:IOH35309	1371	984	1196	885	901	919	1352	1321	2660	560	dickkopf homolog 4 (Xenopus laevis) (DKK4)
B01R09C02	1-2-9	Hs~Ref:NM_014420.2~uORF:IOH35309	1327	948	1209	881	828	951	1349	1403	2532	600	dickkopf homolog 4 (Xenopus laevis) (DKK4)
B01R09C03	1-3-9	Hs~Ref:NM_025057.1~uORF:IOH35314	921	385	666	568	780	501	1011	788	1260	433	chromosome 14 open reading frame 45 (C14orf45)
B01R09C04	1-4-9	Hs~Ref:NM_025057.1~uORF:IOH35314	895	365	615	535	750	532	951	794	1152	397	chromosome 14 open reading frame 45 (C14orf45)
B01R09C05	1-5-9	Hs~Ref:NM_002169.1~uORF:IOH35227	1008	623	1092	1590	1415	1272	1135	734	1383	597	interferon, alpha 5 (IFNA5)
B01R09C06	1-6-9	Hs~Ref:NM_002169.1~uORF:IOH35227	967	683	1010	1645	1466	775	1209	783	1489	509	interferon, alpha 5 (IFNA5)
B01R09C07	1-7-9	Hs~Ref:NM_022573.1~uORF:IOH35467	469	419	502	761	501	321	31732	631	1341	206	testis specific protein, Y-linked 2 (TSPY2)
B01R09C08	1-8-9	Hs~Ref:NM_022573.1~uORF:IOH35467	439	339	461	749	464	651	29541	764	1371	263	testis specific protein, Y-linked 2 (TSPY2)
B01R09C11	1-11-9	Hs~MGC:BC027911.1~uORF:IOH11846	452	377	505	307	458	393	736	339	808	279	jumonji domain containing 5 (JMJD5)
B01R09C12	1-12-9	Hs~MGC:BC027911.1~uORF:IOH11846	515	361	499	313	475	373	710	339	767	351	jumonji domain containing 5 (JMJD5)
B01R09C13	1-13-9	Hs~MGC:BC021861.1~uORF:IOH11917	572	276	399	238	461	394	1230	249	651	103	hypothetical LOC554202 (LOC554202)
